"Record ID","Country","City","Temperature","Humidity","Precipitation","Air Quality Index","Extreme Weather Events","Climate Classification","Climate Zone","Biome Type","Heat Index","Wind Speed","Wind Direction","Season","Population Exposure","Economic Impact Estimate","Infrastructure Vulnerability Score","Date"
"aus_1339","Australia","Melbourne","40.7",63,"102.4",282,"None","Koeppen-C","Arid","Wetland","43.9","3.4","N","Summer","2059933","71955522.59",8,"2025-08-30"
"gmn_964","Germany","Munich","7.2",29,"191.7",405,"Hurricane","Koeppen-B","Temperate","Grassland","8.7","0.4","SW","Summer","3480525","29170067.5",3,"2024-08-20"
"gmn_965","Germany","Munich","-8.3",70,"33.9",242,"None","Koeppen-C","Temperate","Wetland","-4.8","12.6","NE","Summer","561775","34732497.89",10,"2024-08-21"
"gmn_966","Germany","Munich","-8.5",98,"169.4",462,"Flood","Koeppen-A","Temperate","Tundra","-3.6","6.9","N","Summer","3886275","58107799.91",6,"2024-08-22"
"gmn_967","Germany","Munich","2.8",85,"94.9",421,"None","Koeppen-C","Temperate","Grassland","7","34.2","NW","Summer","9195320","89698738.85",7,"2024-08-23"
"gmn_968","Germany","Munich","38.9",39,"167.1",51,"None","Koeppen-C","Temperate","Wetland","40.9","38.4","SW","Summer","8160467","72250209.38",5,"2024-08-24"
"gmn_969","Germany","Munich","30.8",10,"93.1",262,"None","Koeppen-D","Temperate","Forest","31.3","30.1","NW","Summer","2082102","20067234.78",1,"2024-08-25"
"gmn_97","Germany","Berlin","30.6",21,"141.5",333,"None","Koeppen-C","Temperate","Grassland","31.7","24.2","W","Spring","1273126","18274691.58",1,"2024-04-06"
"gmn_970","Germany","Munich","6.8",96,"95",399,"None","Koeppen-D","Temperate","Tundra","11.6","39.4","E","Summer","9567813","1718829.73",5,"2024-08-26"
"gmn_971","Germany","Munich","3.4",25,"45",88,"None","Koeppen-A","Temperate","Forest","4.7","15.4","SE","Summer","5417515","74268281.51",6,"2024-08-27"
