Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_1,01-01-2024,Australia,Sydney,20.3,41,127.1,207,None,Koeppen-B,Arid,Wetland,22.4,18.3,W,Winter,8549476,34039796.05,9
aus_2,02-01-2024,Australia,Sydney,26,85,107.9,27,Heatwave,Koeppen-C,Arid,Tundra,30.2,8.7,NE,Winter,2018634,10224925.56,4
aus_3,03-01-2024,Australia,Sydney,35.8,86,35.4,428,None,Koeppen-C,Arid,Grassland,40.1,6.8,NE,Winter,8331073,59893962.85,10
aus_4,04-01-2024,Australia,Sydney,30.1,27,14.6,257,None,Koeppen-D,Arid,Wetland,31.5,22.3,SE,Winter,4020583,54503065.88,6
aus_5,05-01-2024,Australia,Sydney,-6.3,66,196.9,368,None,Koeppen-A,Arid,Grassland,-3,23.9,SW,Winter,6626268,4475365.29,10
aus_6,06-01-2024,Australia,Sydney,28.8,58,162.1,286,None,Koeppen-B,Arid,Grassland,31.7,28.5,SW,Winter,1419035,42316729.63,9
aus_7,07-01-2024,Australia,Sydney,4.1,90,131.2,233,None,Koeppen-A,Arid,Forest,8.6,6.7,NE,Winter,5152513,14713102.77,10
aus_8,08-01-2024,Australia,Sydney,16.8,17,4.8,179,None,Koeppen-D,Arid,Forest,17.7,15.5,NW,Winter,5765640,18678232.12,8
aus_9,09-01-2024,Australia,Sydney,-8.8,16,42.8,94,None,Koeppen-C,Arid,Tundra,-8,10.7,NE,Winter,782321,57893079.98,4
aus_10,10-01-2024,Australia,Sydney,17.9,68,155.5,84,None,Koeppen-B,Arid,Tundra,21.3,29.6,SE,Winter,8166878,50620627.04,10
aus_11,11-01-2024,Australia,Sydney,7.8,54,130.3,176,Drought,Koeppen-D,Arid,Wetland,10.5,18.4,SW,Winter,5169657,42652449.21,6
aus_12,12-01-2024,Australia,Sydney,8.3,43,161.2,468,None,Koeppen-B,Arid,Wetland,10.5,11.2,W,Winter,3744674,41089658.84,10
aus_13,1-13-2024,Australia,Sydney,27.4,76,138.1,425,Heatwave,Koeppen-A,Arid,Desert,31.2,38.8,SE,Winter,395957,990159.56,10
aus_14,1-14-2024,Australia,Sydney,42,13,69.6,72,Hurricane,Koeppen-C,Arid,Tundra,42.6,13,NE,Winter,8008405,79462386.12,7
aus_15,1-15-2024,Australia,Sydney,26.2,80,14.9,337,None,Koeppen-D,Arid,Grassland,30.2,3.6,SE,Winter,2527582,69059845.87,4
aus_16,1-16-2024,Australia,Sydney,40.2,86,193.6,325,None,Koeppen-B,Arid,Desert,44.5,20.1,SW,Winter,1074374,24095840.27,2
aus_17,1-17-2024,Australia,Sydney,3.4,33,106.3,330,None,Koeppen-A,Arid,Wetland,5,3.5,E,Winter,8760934,6936375.94,7
aus_18,1-18-2024,Australia,Sydney,-1.6,87,125.6,133,None,Koeppen-A,Arid,Tundra,2.8,29.8,E,Winter,9805679,93258287.09,1
aus_19,1-19-2024,Australia,Sydney,14.4,61,4.4,421,None,Koeppen-C,Arid,Tundra,17.4,10.6,W,Winter,9118586,74910223.28,5
aus_20,1-20-2024,Australia,Sydney,2.9,38,46.4,17,None,Koeppen-B,Arid,Tundra,4.8,12.1,S,Winter,6078305,86258700.7,4
aus_21,1-21-2024,Australia,Sydney,34.5,10,169.2,261,Hurricane,Koeppen-D,Arid,Desert,35,29.7,NE,Winter,9384012,10484988.28,9
aus_22,1-22-2024,Australia,Sydney,31.6,36,160,165,None,Koeppen-B,Arid,Forest,33.4,13.5,N,Winter,3337632,22177600.83,1
aus_23,1-23-2024,Australia,Sydney,31.9,16,107.7,100,None,Koeppen-D,Arid,Tundra,32.7,18.8,E,Winter,9084583,7763125.28,10
aus_24,1-24-2024,Australia,Sydney,27.3,16,41.8,488,Drought,Koeppen-B,Arid,Grassland,28.1,4.9,W,Winter,5845686,18106377.52,9
aus_25,1-25-2024,Australia,Sydney,-8.5,45,4.6,194,None,Koeppen-B,Arid,Wetland,-6.2,24.9,SE,Winter,5122438,58152703.33,3
aus_26,1-26-2024,Australia,Sydney,14.2,38,62.7,228,None,Koeppen-C,Arid,Forest,16.1,36.4,S,Winter,7592731,43580779.93,9
aus_27,1-27-2024,Australia,Sydney,-1.2,23,33.4,90,Heatwave,Koeppen-A,Arid,Grassland,0,35.1,N,Winter,9140202,13235483.14,8
aus_28,1-28-2024,Australia,Sydney,44.3,23,187.3,318,None,Koeppen-A,Arid,Wetland,45.4,32.4,N,Winter,1364595,25344068.29,10
aus_29,1-29-2024,Australia,Sydney,43.5,77,173.3,268,None,Koeppen-D,Arid,Forest,47.4,31.1,SW,Winter,8211695,60161919.19,2
aus_30,1-30-2024,Australia,Sydney,14.2,42,111.7,466,None,Koeppen-A,Arid,Desert,16.3,37,SE,Winter,9719833,69354995.1,7
aus_31,1-31-2024,Australia,Sydney,13,38,147,10,None,Koeppen-B,Arid,Wetland,14.9,17.6,SW,Winter,6309454,3209658.24,3
aus_32,01-02-2024,Australia,Sydney,0.3,14,147.6,376,None,Koeppen-D,Arid,Grassland,1,23.6,SW,Winter,880354,99541149.17,4
aus_33,02-02-2024,Australia,Sydney,35.4,55,91.7,353,None,Koeppen-A,Arid,Grassland,38.1,12.8,NE,Winter,3955892,88145570.39,1
aus_34,03-02-2024,Australia,Sydney,29.2,80,85.6,470,None,Koeppen-A,Arid,Forest,33.2,20.9,NW,Winter,2496335,8405964.59,5
aus_35,04-02-2024,Australia,Sydney,3.1,34,53.2,140,Drought,Koeppen-A,Arid,Forest,4.8,33.5,NW,Winter,4529818,39245751.69,10
aus_36,05-02-2024,Australia,Sydney,19.6,65,85.2,217,None,Koeppen-A,Arid,Desert,22.9,28.4,SW,Winter,3732095,91089052.56,4
aus_37,06-02-2024,Australia,Sydney,2.1,22,149.4,244,None,Koeppen-B,Arid,Tundra,3.2,20.1,NW,Winter,5098416,85033134.7,5
aus_38,07-02-2024,Australia,Sydney,21,71,60.5,416,None,Koeppen-C,Arid,Grassland,24.6,6.9,S,Winter,7271468,2331321.87,9
aus_39,08-02-2024,Australia,Sydney,20.7,17,190.1,247,None,Koeppen-D,Arid,Wetland,21.6,2.7,E,Winter,2241696,42207305.26,2
aus_40,09-02-2024,Australia,Sydney,29.2,31,4,454,None,Koeppen-D,Arid,Grassland,30.8,7.7,NW,Winter,1746732,91227661.53,7
aus_41,10-02-2024,Australia,Sydney,15.6,87,197.9,284,None,Koeppen-A,Arid,Tundra,19.9,6.5,SE,Winter,1333376,9385011.12,9
aus_42,11-02-2024,Australia,Sydney,1.3,58,170.5,274,None,Koeppen-A,Arid,Wetland,4.2,4.7,NW,Winter,4879014,77474732.86,9
aus_43,12-02-2024,Australia,Sydney,6.9,83,156.1,226,None,Koeppen-B,Arid,Desert,11.1,24.4,SE,Winter,3756683,72783805.73,4
aus_44,2-13-2024,Australia,Sydney,5,91,183.2,297,None,Koeppen-C,Arid,Forest,9.6,38.1,SW,Winter,2200905,81873621.75,2
aus_45,2-14-2024,Australia,Sydney,12.2,97,87.5,12,None,Koeppen-A,Arid,Tundra,17.1,16.4,SW,Winter,8503650,38964645.6,4
aus_46,2-15-2024,Australia,Sydney,40.1,25,55,135,None,Koeppen-B,Arid,Tundra,41.4,8.1,E,Winter,9424730,39313405.97,9
aus_47,2-16-2024,Australia,Sydney,4.1,98,171.7,269,Hurricane,Koeppen-C,Arid,Grassland,9,3.7,SW,Winter,6471648,5923328.82,9
aus_48,2-17-2024,Australia,Sydney,8.3,90,173.5,211,Drought,Koeppen-B,Arid,Tundra,12.8,0.8,E,Winter,9370044,47079864.4,8
aus_49,2-18-2024,Australia,Sydney,33.9,91,186.7,355,None,Koeppen-A,Arid,Wetland,38.4,27,S,Winter,3129113,59596783.66,3
aus_50,2-19-2024,Australia,Sydney,42.8,80,62.8,43,None,Koeppen-B,Arid,Forest,46.8,22.3,S,Winter,5238758,41700555.83,10
