Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
bra_1,1/1/2024,Brazil,Sao Paulo,21.1,26,162.3,220,Hurricane,Koeppen-A,Tropical,Forest,22.4,9.2,W,Winter,7239384,75334723.88,7
bra_2,1/2/2024,Brazil,Sao Paulo,9.6,95,127.4,381,None,Koeppen-C,Tropical,Wetland,14.3,28.3,E,Winter,3973025,45647091.59,8
bra_3,1/3/2024,Brazil,Sao Paulo,15.4,40,99.2,385,None,Koeppen-C,Tropical,Forest,17.4,34.7,S,Winter,559380,89385546.24,3
bra_4,1/4/2024,Brazil,Sao Paulo,29.6,29,184.5,91,Hurricane,Koeppen-A,Tropical,Forest,31.1,39.4,S,Winter,4266724,77237448.04,8
bra_5,1/5/2024,Brazil,Sao Paulo,35.8,21,171.6,216,Flood,Koeppen-C,Tropical,Forest,36.8,2.9,E,Winter,3920089,29899710.07,6
bra_6,1/6/2024,Brazil,Sao Paulo,37.9,48,33.5,489,None,Koeppen-C,Tropical,Forest,40.3,35.6,NW,Winter,8911970,76020454.63,1
bra_7,1/7/2024,Brazil,Sao Paulo,-9.9,64,130.1,225,None,Koeppen-B,Tropical,Desert,-6.7,31.7,SE,Winter,892682,55369600.9,10
bra_8,1/8/2024,Brazil,Sao Paulo,1.8,19,133.6,53,None,Koeppen-B,Tropical,Tundra,2.8,17,SE,Winter,7615987,26315382.71,8
bra_9,1/9/2024,Brazil,Sao Paulo,22.4,75,27.6,389,None,Koeppen-B,Tropical,Grassland,26.1,16.6,SE,Winter,5238143,30514429.23,3
bra_10,1/10/2024,Brazil,Sao Paulo,44.1,21,9.3,199,None,Koeppen-A,Tropical,Tundra,45.1,0.3,S,Winter,4162120,52544337.65,6
bra_11,1/11/2024,Brazil,Sao Paulo,9.7,37,170.7,401,Hurricane,Koeppen-B,Tropical,Tundra,11.5,18.3,E,Winter,7771802,33368091.52,6
bra_12,1/12/2024,Brazil,Sao Paulo,35.7,22,95.3,487,None,Koeppen-D,Tropical,Tundra,36.8,16.7,SW,Winter,9595644,7257755.43,4
bra_13,1/13/2024,Brazil,Sao Paulo,13.6,31,173,495,None,Koeppen-A,Tropical,Wetland,15.2,32.5,N,Winter,1170659,90700414.33,9
bra_14,1/14/2024,Brazil,Sao Paulo,39.4,71,19,45,None,Koeppen-D,Tropical,Desert,42.9,7.2,SE,Winter,2882688,1773379.83,9
bra_15,1/15/2024,Brazil,Sao Paulo,29.4,43,68,115,None,Koeppen-B,Tropical,Grassland,31.5,7,N,Winter,698220,55956553.36,10
bra_16,1/16/2024,Brazil,Sao Paulo,30.6,93,28.2,212,None,Koeppen-B,Tropical,Wetland,35.2,34.5,W,Winter,1147832,57992243.43,4
bra_17,1/17/2024,Brazil,Sao Paulo,-9.1,88,199,68,None,Koeppen-C,Tropical,Wetland,-4.7,35.1,SW,Winter,8113850,21216507.74,5
bra_18,1/18/2024,Brazil,Sao Paulo,27.6,82,157.8,281,None,Koeppen-C,Tropical,Tundra,31.7,0.5,NW,Winter,2794625,27000392.27,9
bra_19,1/19/2024,Brazil,Sao Paulo,20.8,13,57.8,464,Drought,Koeppen-D,Tropical,Forest,21.4,25.6,E,Winter,4553796,55999488.39,7
bra_20,1/20/2024,Brazil,Sao Paulo,18.6,65,11.5,16,None,Koeppen-C,Tropical,Wetland,21.9,26.6,SW,Winter,5418964,34442424.66,3
bra_21,1/21/2024,Brazil,Sao Paulo,19.8,100,145.7,248,None,Koeppen-B,Tropical,Forest,24.8,38.9,NW,Winter,1358931,34520855.58,4
bra_22,1/22/2024,Brazil,Sao Paulo,29,89,7,98,Heatwave,Koeppen-C,Tropical,Forest,33.5,31.8,S,Winter,9256665,38704684.59,6
bra_23,1/23/2024,Brazil,Sao Paulo,6.4,45,39.4,242,None,Koeppen-A,Tropical,Desert,8.7,24.5,E,Winter,2523150,13983559.38,5
bra_24,1/24/2024,Brazil,Sao Paulo,-4.2,29,143.1,282,None,Koeppen-C,Tropical,Grassland,-2.8,6,N,Winter,9805226,99232277.79,10
