Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
cnd_1,1/1/2024,Canada,Toronto,32.1,73,125.9,270,None,Koeppen-C,Temperate,Forest,35.8,11.4,E,Winter,754447,50723859.01,9
cnd_2,1/2/2024,Canada,Toronto,19.2,43,74.9,325,None,Koeppen-B,Temperate,Forest,21.3,11,E,Winter,1365604,89164236.97,6
cnd_3,1/3/2024,Canada,Toronto,39.8,93,130.3,196,None,Koeppen-D,Temperate,Forest,44.4,6.3,SW,Winter,6514853,78503800.29,7
cnd_4,1/4/2024,Canada,Toronto,-8.9,91,177.1,216,None,Koeppen-D,Temperate,Forest,-4.4,14.6,NE,Winter,6805949,73009221.94,6
cnd_5,1/5/2024,Canada,Toronto,11.3,73,192,45,None,Koeppen-D,Temperate,Grassland,15,38.4,E,Winter,4741563,89420073.15,3
cnd_6,1/6/2024,Canada,Toronto,41,74,155.5,448,None,Koeppen-A,Temperate,Desert,44.7,3.5,NE,Winter,9501121,33473228.68,4
cnd_7,1/7/2024,Canada,Toronto,35.2,97,190.8,166,None,Koeppen-A,Temperate,Grassland,40.1,39.4,NW,Winter,8946503,95153817.9,8
cnd_8,1/8/2024,Canada,Toronto,7.7,23,99.1,323,Drought,Koeppen-B,Temperate,Grassland,8.8,28,W,Winter,4419221,8719526.49,4
cnd_9,1/9/2024,Canada,Toronto,29.7,53,38,133,None,Koeppen-D,Temperate,Desert,32.4,27.8,S,Winter,1978076,14313618.24,10
cnd_10,1/10/2024,Canada,Toronto,17.7,25,19.1,233,None,Koeppen-A,Temperate,Forest,18.9,6.2,N,Winter,5766792,48112343.15,7
cnd_11,1/11/2024,Canada,Toronto,20.5,64,104.7,124,None,Koeppen-B,Temperate,Grassland,23.7,25.1,E,Winter,3205025,43389495.8,10
cnd_12,1/12/2024,Canada,Toronto,22.7,96,51.4,478,None,Koeppen-A,Temperate,Desert,27.5,14.4,W,Winter,2961960,93859897.21,1
cnd_13,1/13/2024,Canada,Toronto,34.1,88,114.4,267,None,Koeppen-A,Temperate,Grassland,38.5,17.9,SE,Winter,2377883,62987296.09,1
cnd_14,1/14/2024,Canada,Toronto,26.6,44,194,185,None,Koeppen-D,Temperate,Wetland,28.8,13.9,SW,Winter,6623064,1240271.5,5
cnd_15,1/15/2024,Canada,Toronto,43.3,23,104.3,488,Hurricane,Koeppen-A,Temperate,Wetland,44.4,25.3,SW,Winter,165862,85297202.25,8
cnd_16,1/16/2024,Canada,Toronto,29.1,21,97.7,64,None,Koeppen-A,Temperate,Grassland,30.2,15.4,SW,Winter,704926,71600380.53,6
cnd_17,1/17/2024,Canada,Toronto,34.6,58,56.8,89,None,Koeppen-A,Temperate,Grassland,37.5,33.1,W,Winter,3622014,18806379.54,1
cnd_18,1/18/2024,Canada,Toronto,28.7,59,146.4,255,None,Koeppen-C,Temperate,Tundra,31.6,17.4,W,Winter,275108,47947730.4,8
cnd_19,1/19/2024,Canada,Toronto,9.3,13,128.9,292,None,Koeppen-B,Temperate,Wetland,10,3.8,SW,Winter,6538867,55090005.15,9
cnd_20,1/20/2024,Canada,Toronto,3.3,34,5.4,107,None,Koeppen-A,Temperate,Wetland,5,6.6,W,Winter,3601551,26123931.34,7
cnd_21,1/21/2024,Canada,Toronto,4.9,35,36.4,171,None,Koeppen-A,Temperate,Desert,6.7,19.4,E,Winter,7736165,69059474.58,7
cnd_22,1/22/2024,Canada,Toronto,-9.7,59,123.5,465,None,Koeppen-C,Temperate,Grassland,-6.7,3.4,N,Winter,5582299,30342178,7
cnd_23,1/23/2024,Canada,Toronto,33.4,13,160.9,328,None,Koeppen-C,Temperate,Desert,34,28.2,NE,Winter,9737119,95914911.95,9
cnd_24,1/24/2024,Canada,Toronto,44.5,12,175.9,329,None,Koeppen-B,Temperate,Wetland,45.1,38.3,NW,Winter,2491456,90011199.9,1
cnd_25,1/25/2024,Canada,Toronto,1.6,62,75.8,216,Drought,Koeppen-C,Temperate,Wetland,4.7,16.1,SW,Winter,7746916,17018226.96,6
cnd_26,1/26/2024,Canada,Toronto,7.6,65,151,25,Drought,Koeppen-B,Temperate,Forest,10.8,37.5,NE,Winter,6095227,13319524.48,4
cnd_27,1/27/2024,Canada,Toronto,-2.1,30,140.7,13,None,Koeppen-B,Temperate,Tundra,-0.6,12.3,N,Winter,8874555,52853471.96,8
cnd_28,1/28/2024,Canada,Toronto,-7.5,93,20.9,419,None,Koeppen-C,Temperate,Tundra,-2.8,14.5,NE,Winter,3308935,59494109.24,2
cnd_29,1/29/2024,Canada,Toronto,3,61,37.4,342,Drought,Koeppen-D,Temperate,Wetland,6.1,7.8,SE,Winter,9866689,10576448.08,7
cnd_30,1/30/2024,Canada,Toronto,-2,77,171.6,253,Heatwave,Koeppen-C,Temperate,Desert,1.9,29.8,SW,Winter,6237879,93688191.27,8
cnd_31,1/31/2024,Canada,Toronto,10.1,83,170.4,53,None,Koeppen-D,Temperate,Desert,14.2,11.8,W,Winter,369229,58524158.22,9
cnd_32,2/1/2024,Canada,Toronto,21.9,87,195,390,None,Koeppen-A,Temperate,Grassland,26.2,38,SW,Winter,4102931,80163123.25,1
