Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
s.a_1,1/1/2024,South Africa,Johannesburg,-2.3,10,96.8,53,None,Koeppen-A,Tropical,Desert,-1.8,8.5,NW,Winter,9878226,20653209.25,9
s.a_2,1/2/2024,South Africa,Johannesburg,8.2,43,145.3,90,None,Koeppen-D,Tropical,Grassland,10.3,9.4,N,Winter,6223039,20142522.14,5
s.a_3,1/3/2024,South Africa,Johannesburg,43.9,50,99.4,360,None,Koeppen-C,Tropical,Grassland,46.4,33,W,Winter,2633582,96035983.08,2
s.a_4,1/4/2024,South Africa,Johannesburg,26.2,82,28.3,181,None,Koeppen-A,Tropical,Grassland,30.3,37,S,Winter,1708953,74894698.96,9
s.a_5,1/5/2024,South Africa,Johannesburg,-9.8,39,20.5,449,None,Koeppen-D,Tropical,Forest,-7.9,30.3,E,Winter,6121236,16713870.43,2
s.a_6,1/6/2024,South Africa,Johannesburg,14.3,21,81.8,460,Hurricane,Koeppen-C,Tropical,Forest,15.4,31,E,Winter,4768057,51013872.39,8
s.a_7,1/7/2024,South Africa,Johannesburg,29,66,82.5,130,Heatwave,Koeppen-B,Tropical,Tundra,32.3,32.5,SW,Winter,8633956,68721235.06,10
s.a_8,1/8/2024,South Africa,Johannesburg,-2.9,64,199.5,125,None,Koeppen-A,Tropical,Tundra,0.3,19.9,SW,Winter,5474001,29234413.82,7
s.a_9,1/9/2024,South Africa,Johannesburg,40.4,12,181.6,67,None,Koeppen-A,Tropical,Forest,41,4.9,SE,Winter,3604774,53318848.68,1
s.a_10,1/10/2024,South Africa,Johannesburg,28.1,41,22.3,355,None,Koeppen-C,Tropical,Tundra,30.2,0.6,E,Winter,9380306,43090334.79,3
s.a_11,1/11/2024,South Africa,Johannesburg,26.2,49,106.8,332,None,Koeppen-A,Tropical,Wetland,28.6,39.8,NE,Winter,6545330,40228460.81,8
s.a_12,1/12/2024,South Africa,Johannesburg,44.6,29,122.4,376,None,Koeppen-C,Tropical,Desert,46.1,21.8,W,Winter,9018565,44839402.53,8
s.a_13,1/13/2024,South Africa,Johannesburg,24.2,66,85.3,147,None,Koeppen-C,Tropical,Tundra,27.5,4.3,SE,Winter,7013109,45198302.34,4
s.a_14,1/14/2024,South Africa,Johannesburg,11,91,135.3,273,None,Koeppen-B,Tropical,Grassland,15.6,22.3,W,Winter,6204402,56666961.85,5
s.a_15,1/15/2024,South Africa,Johannesburg,42.5,22,93.2,355,Flood,Koeppen-A,Tropical,Tundra,43.6,25.8,S,Winter,9079428,13358680.12,1
s.a_16,1/16/2024,South Africa,Johannesburg,35,93,62.7,280,None,Koeppen-D,Tropical,Wetland,39.6,35.5,NE,Winter,3233860,20265338.03,5
s.a_17,1/17/2024,South Africa,Johannesburg,39.9,72,64.1,91,None,Koeppen-A,Tropical,Desert,43.5,18.1,E,Winter,142472,5304967.77,9
s.a_18,1/18/2024,South Africa,Johannesburg,40.9,10,142.5,336,Flood,Koeppen-A,Tropical,Grassland,41.4,9,E,Winter,6660086,4357073.92,1
s.a_19,1/19/2024,South Africa,Johannesburg,17.8,94,69.4,22,None,Koeppen-B,Tropical,Desert,22.5,15.7,SE,Winter,8088634,17166331.3,6
s.a_20,1/20/2024,South Africa,Johannesburg,24.5,17,0.3,315,None,Koeppen-A,Tropical,Desert,25.4,24,S,Winter,1954315,35894459.18,10
s.a_21,1/21/2024,South Africa,Johannesburg,21.2,35,199.6,493,None,Koeppen-A,Tropical,Grassland,22.9,5,W,Winter,5997608,63225912.01,8
s.a_22,1/22/2024,South Africa,Johannesburg,1.2,51,186.2,326,None,Koeppen-D,Tropical,Desert,3.8,32.9,E,Winter,9062277,3581333.17,5
s.a_23,1/23/2024,South Africa,Johannesburg,34.7,63,0.3,39,None,Koeppen-A,Tropical,Desert,37.9,16.9,E,Winter,7651518,43191796.02,10
s.a_24,1/24/2024,South Africa,Johannesburg,25.9,51,163.8,217,None,Koeppen-C,Tropical,Forest,28.4,20.3,N,Winter,3836267,99907728.74,4
s.a_25,1/25/2024,South Africa,Johannesburg,-6.9,57,192.5,137,None,Koeppen-C,Tropical,Tundra,-4.1,29.6,SW,Winter,9116499,54885049.15,8
s.a_26,1/26/2024,South Africa,Johannesburg,-6.8,75,151.8,304,None,Koeppen-C,Tropical,Desert,-3,37.2,S,Winter,7366170,55541239.96,6
s.a_27,1/27/2024,South Africa,Johannesburg,20.4,80,178.4,152,None,Koeppen-B,Tropical,Forest,24.4,23,W,Winter,4003963,98236184.54,5
s.a_28,1/28/2024,South Africa,Johannesburg,34,73,181.5,32,None,Koeppen-C,Tropical,Desert,37.6,0,N,Winter,4478246,51528945,8
s.a_29,1/29/2024,South Africa,Johannesburg,10.8,19,98,359,None,Koeppen-D,Tropical,Grassland,11.8,10.1,NW,Winter,8061086,28617999.97,2
s.a_30,1/30/2024,South Africa,Johannesburg,43.8,71,68.7,382,None,Koeppen-D,Tropical,Wetland,47.3,38.6,SW,Winter,8326379,56029555.58,10
s.a_31,1/31/2024,South Africa,Johannesburg,34.6,54,185.5,453,Flood,Koeppen-D,Tropical,Desert,37.3,1.5,SE,Winter,7880161,96150672.18,7
s.a_32,2/1/2024,South Africa,Johannesburg,-9.9,87,148.7,148,Heatwave,Koeppen-D,Tropical,Wetland,-5.5,1.9,SE,Winter,6884674,28653403.47,5
s.a_33,2/2/2024,South Africa,Johannesburg,-7,13,10.9,15,None,Koeppen-A,Tropical,Forest,-6.3,6.4,S,Winter,2145533,34175322.65,10
s.a_34,2/3/2024,South Africa,Johannesburg,10.3,11,53.5,199,None,Koeppen-C,Tropical,Tundra,10.9,36.9,N,Winter,1004706,33484853.76,9
s.a_35,2/4/2024,South Africa,Johannesburg,25.2,40,24.9,209,None,Koeppen-D,Tropical,Forest,27.2,8.5,NE,Winter,1338407,33123738.1,10
s.a_36,2/5/2024,South Africa,Johannesburg,-6.4,47,169.2,25,Hurricane,Koeppen-B,Tropical,Desert,-4.1,19.5,NE,Winter,9169748,46185164.39,3
s.a_37,2/6/2024,South Africa,Johannesburg,-4.5,55,116.4,112,None,Koeppen-C,Tropical,Wetland,-1.8,26,NE,Winter,8709484,56292172.84,5
s.a_38,2/7/2024,South Africa,Johannesburg,12.1,65,60.9,398,None,Koeppen-A,Tropical,Wetland,15.3,7.5,W,Winter,4064174,85298832.16,10
s.a_39,2/8/2024,South Africa,Johannesburg,8.8,62,5,409,None,Koeppen-D,Tropical,Desert,11.9,30.4,NW,Winter,2134819,37819703.87,1
s.a_40,2/9/2024,South Africa,Johannesburg,0.2,97,114.7,95,Hurricane,Koeppen-B,Tropical,Grassland,5.1,20.5,NE,Winter,4193419,83096496.76,9
s.a_41,2/10/2024,South Africa,Johannesburg,15.5,54,81.5,373,None,Koeppen-B,Tropical,Grassland,18.2,38,E,Winter,8675007,58398855.27,3
