Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
gmn_1,1/1/2024,Germany,Berlin,0.1,39,157.6,397,None,Koeppen-B,Temperate,Wetland,2.1,27.2,N,Winter,1295847,35597558.59,4
gmn_2,1/2/2024,Germany,Berlin,39,42,66.2,218,Drought,Koeppen-C,Temperate,Grassland,41.1,0.2,S,Winter,3161287,29454964.53,2
gmn_3,1/3/2024,Germany,Berlin,17.4,79,160,270,None,Koeppen-B,Temperate,Forest,21.3,14.5,SE,Winter,867475,39275370.38,8
gmn_4,1/4/2024,Germany,Berlin,23.3,92,99.9,227,None,Koeppen-D,Temperate,Grassland,27.9,29.2,SW,Winter,3494627,50369652.63,1
gmn_5,1/5/2024,Germany,Berlin,3.9,78,135.2,349,None,Koeppen-C,Temperate,Wetland,7.8,30.8,S,Winter,565128,17906785.88,8
gmn_6,1/6/2024,Germany,Berlin,39.5,90,185.7,460,None,Koeppen-A,Temperate,Grassland,44,26.5,NW,Winter,5649171,34220882.73,4
gmn_7,1/7/2024,Germany,Berlin,3.6,45,148.3,303,None,Koeppen-C,Temperate,Desert,5.8,17.5,SE,Winter,9333264,16540726.84,7
gmn_8,1/8/2024,Germany,Berlin,37.2,70,34.9,79,None,Koeppen-C,Temperate,Desert,40.7,24.1,E,Winter,1985270,18468310.09,7
gmn_9,1/9/2024,Germany,Berlin,10.6,18,19.6,215,None,Koeppen-A,Temperate,Grassland,11.5,15.3,SE,Winter,6609959,74387364.93,3
gmn_10,1/10/2024,Germany,Berlin,32.3,79,23.1,473,None,Koeppen-C,Temperate,Tundra,36.2,1.5,E,Winter,1225665,61143249.46,5
gmn_11,1/11/2024,Germany,Berlin,14,54,76.5,93,Heatwave,Koeppen-D,Temperate,Grassland,16.7,12.5,SE,Winter,3009172,8652369.64,10
gmn_12,1/12/2024,Germany,Berlin,39.8,80,144.4,170,None,Koeppen-B,Temperate,Desert,43.8,30.5,SE,Winter,2454479,47920929.37,1
gmn_13,1/13/2024,Germany,Berlin,16.5,84,29.5,348,None,Koeppen-D,Temperate,Desert,20.7,3.2,S,Winter,5636903,72261846.23,7
gmn_14,1/14/2024,Germany,Berlin,24.2,29,28.6,310,None,Koeppen-D,Temperate,Tundra,25.6,27.8,E,Winter,1854112,91747495.38,2
gmn_15,1/15/2024,Germany,Berlin,30.4,75,116.2,113,None,Koeppen-B,Temperate,Tundra,34.1,39,SE,Winter,1325924,29804133.34,10
gmn_16,1/16/2024,Germany,Berlin,32.1,22,42.4,388,None,Koeppen-B,Temperate,Grassland,33.2,24.8,N,Winter,9980721,42931558.05,1
gmn_17,1/17/2024,Germany,Berlin,40.9,31,38.1,248,None,Koeppen-D,Temperate,Grassland,42.4,20.6,SW,Winter,3829197,29620311.04,9
gmn_18,1/18/2024,Germany,Berlin,25.7,41,129.7,400,None,Koeppen-C,Temperate,Wetland,27.8,23.9,N,Winter,4257087,58128430.94,8
gmn_19,1/19/2024,Germany,Berlin,12.4,45,185.1,422,None,Koeppen-C,Temperate,Grassland,14.7,7,E,Winter,9362286,86190929.06,6
gmn_20,1/20/2024,Germany,Berlin,4.3,13,102.7,22,None,Koeppen-D,Temperate,Wetland,5,6.8,S,Winter,3893603,96500864.67,6
gmn_21,1/21/2024,Germany,Berlin,23.2,15,146.4,29,None,Koeppen-B,Temperate,Wetland,23.9,0.2,S,Winter,6557367,65201960.95,10
gmn_22,1/22/2024,Germany,Berlin,1.8,22,189.7,214,None,Koeppen-D,Temperate,Grassland,2.9,20,N,Winter,3996339,57631013.26,4
gmn_23,1/23/2024,Germany,Berlin,22.7,56,176.8,270,None,Koeppen-D,Temperate,Tundra,25.5,17.1,NE,Winter,6141525,25691312.84,6
gmn_24,1/24/2024,Germany,Berlin,-8.5,96,28.8,386,Hurricane,Koeppen-D,Temperate,Forest,-3.7,13.2,NW,Winter,5273321,73900385.59,4
gmn_25,1/25/2024,Germany,Berlin,6.1,58,16.8,270,Hurricane,Koeppen-C,Temperate,Desert,9,17.9,S,Winter,5256068,24432245.72,1
gmn_26,1/26/2024,Germany,Berlin,12,91,163.9,156,None,Koeppen-A,Temperate,Wetland,16.6,12.1,W,Winter,1708034,2340820.73,1
gmn_27,1/27/2024,Germany,Berlin,28.6,53,15.2,40,None,Koeppen-C,Temperate,Grassland,31.2,6.1,W,Winter,8583930,45390868.13,6
gmn_28,1/28/2024,Germany,Berlin,17.2,34,33.6,167,None,Koeppen-C,Temperate,Wetland,18.9,28.3,NW,Winter,2001659,72262185.96,10
